-- Testing: 210 tests, 12 workers --
FAIL: LLVM :: tools/llvm-objcopy/ELF/wildcard-flags.test (206 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/auto-remove-shndx.test (207 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/many-sections.test (208 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/strict-no-add.test (209 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/remove-shndx.test (210 of 210)
********************
Failed Tests (192):
  LLVM :: tools/llvm-objcopy/ELF/add-gnu-debuglink.test
  LLVM :: tools/llvm-objcopy/ELF/add-note.test
  LLVM :: tools/llvm-objcopy/ELF/add-section-and-set-flags.test
  LLVM :: tools/llvm-objcopy/ELF/add-section-remove.test
  LLVM :: tools/llvm-objcopy/ELF/add-section-special.test
  LLVM :: tools/llvm-objcopy/ELF/add-section.test
  LLVM :: tools/llvm-objcopy/ELF/add-symbol-new-symbol-visibility.test
  LLVM :: tools/llvm-objcopy/ELF/add-symbol-new-symtab.test
  LLVM :: tools/llvm-objcopy/ELF/add-symbol-no-symtab.test
  LLVM :: tools/llvm-objcopy/ELF/add-symbol.test
  LLVM :: tools/llvm-objcopy/ELF/adjacent-segments.test
  LLVM :: tools/llvm-objcopy/ELF/archive-unknown-members.test
  LLVM :: tools/llvm-objcopy/ELF/armexidx-link.test
  LLVM :: tools/llvm-objcopy/ELF/auto-remove-shndx.test
  LLVM :: tools/llvm-objcopy/ELF/bad-build-id.test
  LLVM :: tools/llvm-objcopy/ELF/bad-output-format.test
  LLVM :: tools/llvm-objcopy/ELF/basic-archive-copy.test
  LLVM :: tools/llvm-objcopy/ELF/basic-binary-copy.test
  LLVM :: tools/llvm-objcopy/ELF/basic-copy.test
  LLVM :: tools/llvm-objcopy/ELF/basic-keep.test
  LLVM :: tools/llvm-objcopy/ELF/basic-only-section.test
  LLVM :: tools/llvm-objcopy/ELF/binary-first-seg-offset-zero.test
  LLVM :: tools/llvm-objcopy/ELF/binary-input-and-output.test
